,encounter,elo
5e1883bfb63f9560371a8783,2282,1312.2395382821942
5c3ec7c334299b1d1ec7fb9a,1689,884.301507073933
5fda933cd9383f75799c0e26,2312,1508.7334295251385
5e72451999058b3eced0c196,2323,1423.1719690941022
5e157fa7b63f95603717a31f,2285,650.9921753486453
5dff2635cc9ede7610ee3f10,2278,563.5584435176277
5c1a7212bcf3f64c76dfa55c,1576,775.6538147130836
5e1d626fb63f9560372042c3,2297,1360.2058236159796
5e03164cb63f95603704476a,2284,1011.2818773675885
5c1a08b8bcf3f64c76df60a6,2272,701.0603917637441
5e12e922b63f95603714d0a5,2299,1220.2111023771006
5c2cdace488a1e7d0ae2b022,1641,1163.2570801482348
5c2df855488a1e7d0ae3af27,1711,844.0847734132437
5e10ad0ab63f956037124303,2369,1518.6557872275596
5cd1b473a51e681f0e909ac7,1949,1533.4154271168427
5dcbd46aab6c31598dcf40a0,2280,213.97441517880725
5e0b4b0eb63f9560370c643e,2256,228.58899074743593
5e1d7332b63f956037205589,2261,1161.1131162731303
5c272775bcf3f64c76e963c5,1679,908.7081587057681
5e1c6902b63f9560371ef7b7,2290,1041.4703600356181
5e0c5af9b63f9560370d9179,2285,1134.3422081642368
5e04960eb63f95603705eb6c,2278,394.4942471714941
5c160124e0008d16c84c8fce,1600,240.0044466957531
5e86d7a541dfbb5e919553d8,2275,1127.212501386665
5dfbc806cc9ede7610eae76e,2276,1087.6604946550958
5e17e87fb63f95603719e914,2279,1162.3193526981274
5e205a81b63f956037237c78,2272,1105.0956981511831
5e7333d099058b3eced17849,2296,1440.5502458304545
5de32e44cc9ede7610d3c753,2295,909.5012029441651
5c175fe8bcf3f64c76dd8955,1698,836.0532033778719
5e1f130ab63f956037223e66,2276,548.4056097556131
5df4b5cdcc9ede7610e3f53e,324,795.2377786834164
5e00b03cb63f95603701e4c8,2292,1033.3403145993107
5e1889fbb63f9560371a8ed0,2282,1080.1319296966622
5dfc36b9cc9ede7610eb6a1e,2279,793.6669239605988
5c2375b6bcf3f64c76e66a25,1717,825.2303995672723
5e03254eb63f9560370455a0,2280,592.3939757692283
5df1aca6cc9ede7610e11d03,2299,1233.4359974470924
5c24bedebcf3f64c76e76ad3,1728,1234.833243375829
5c2af116bcf3f64c76ebc201,1677,2020.396985859066
5e1db999b63f95603720ad0d,2284,202.40690191622272
5c2e1dc9488a1e7d0ae3c893,1760,186.69201685130503
5c0888f1e0008d16c843f8f7,1656,975.5000837038315
5c236af8bcf3f64c76e66048,1705,1000.9153723122473
5c41d50734299b1d1eca4d17,1655,964.0738766588244
5e0617c4b63f9560370756e3,2279,1163.0002021333853
5dff331bcc9ede7610ee4bf6,2289,1824.4597233788306
5c38c3f134299b1d1ec3e65d,1623,937.4553266308997
5c24b86dbcf3f64c76e764fd,1615,1078.3413403607256
5c405ef134299b1d1ec90831,1678,980.1610517813035
5e00cc2eb63f95603701fe98,2298,452.4026608246223
5c1de053bcf3f64c76e20227,1710,256.38638454975757
5c4485d634299b1d1ecc6b43,1676,211.32196522020428
5c2f54d8495f2d4b6f3da8cc,1680,957.153258549022
5c302c7c495f2d4b6f3e510f,1718,913.3780611599069
5c231446bcf3f64c76e615d8,1657,868.118062968879
5c1f70a8bcf3f64c76e32219,1728,1033.1189831780534
